iso2,gdp_per_capita_usd
AD,49303.673390
AE,49377.564338
AF,413.757895
AG,23725.790373
AL,10011.627986
AM,8500.605225
AO,2122.083690
AR,13858.203980
AS,18017.458938
AT,56833.196047
AU,64407.484257
AW,33984.790620
AZ,7283.835630
BA,8957.372942
BB,25365.794942
BD,2593.416074
BE,55954.610626
BF,987.321378
BG,17412.411509
BH,30048.217772
BI,153.930218
BJ,1485.380190
BM,138934.958846
BN,33417.835774
BO,4001.211340
BR,10280.314862
BS,39455.446655
BT,3839.409304
BW,7695.242064
BY,8316.647763
BZ,8429.679597
CA,54282.617605
CD,647.435705
CF,516.170425
CG,2482.248947
CH,103669.872008
CI,2709.895116
CL,16709.889397
CM,1762.368351
CN,13303.148154
CO,7913.988015
CR,18587.153220
CU,9605.261251
CV,5272.852530
CW,21061.741639
CY,38654.167969
CZ,31706.623423
DE,55800.219455
DJ,3496.471119
DK,71851.756213
DM,10405.278778
DO,10875.661844
DZ,5631.179991
EC,6874.705740
EE,31170.091509
EG,3338.473714
ER,688.681660
ES,35297.009500
ET,1011.073324
FI,53188.618625
FJ,6288.398673
FM,4166.004767
FO,71774.352235
FR,46150.487686
GA,8218.763071
GB,52636.786594
GD,11871.611701
GE,9193.663664
GH,2405.794664
GL,58498.974314
GM,908.525674
GN,1717.023181
GQ,6745.400132
GR,24752.106840
GT,6150.025978
GU,41833.151713
GW,962.983628
GY,29883.634115
HK,54107.034522
HN,3426.434833
HR,23931.452838
HT,2142.623305
HU,23310.751273
ID,4925.430488
IE,107316.337307
IL,54176.684438
IM,88328.548126
IN,2696.663900
IQ,6073.610323
IR,4771.400290
IS,82703.857994
IT,40226.047242
JM,7019.746348
JO,4618.095925
JP,32475.892499
KE,2206.134979
KG,2419.265536
KH,2627.879697
KI,2288.634583
KM,1784.115469
KN,22771.416892
KR,33121.371289
KW,32213.862229
KY,97749.507896
KZ,14005.348736
LA,2123.979094
LB,3477.724898
LC,14181.630335
LI,207973.617747
LK,4515.567873
LR,846.277368
LS,971.814620
LT,29386.287835
LU,137516.587324
LV,23367.598679
LY,6318.403140
MA,3993.387451
MC,256580.515123
MD,7617.516131
ME,12935.452271
MF,21668.374093
MG,544.997303
MH,7466.651865
MK,9310.027900
ML,1086.176218
MM,1359.259614
MN,6691.482098
MO,73046.889027
MP,23785.754590
MR,2082.783744
MT,42347.307386
MU,11871.733679
MV,13215.535364
MW,508.371274
MX,14157.944584
MY,11867.258644
MZ,647.285800
NA,4413.127442
NC,33516.363086
NE,722.748650
NG,806.945695
NI,2847.539663
NL,68218.726102
NO,86809.724690
NP,1447.310045
NR,13421.833058
NZ,48747.013685
OM,20248.416812
PA,19102.852194
PE,8452.371670
PF,22774.141899
PG,3076.487862
PH,3984.831539
PK,1484.749859
PL,25022.671645
PR,39285.017459
PS,2592.305912
PT,28844.497925
PW,15899.424607
PY,6416.097090
QA,76275.907678
RO,20072.407924
RS,13523.724683
RU,14889.018555
RW,999.654561
SA,35057.225231
SB,2149.379573
SC,17858.822638
SD,989.312866
SE,57723.234503
SG,90674.066633
SI,34089.352765
SK,26147.902843
SL,873.388575
SM,54264.570496
SN,1743.988884
SO,636.983478
SR,7430.702192
SS,1080.147186
ST,3244.828997
SV,5579.659692
SX,40027.917599
SY,847.372723
SZ,3936.109692
TC,37506.779843
TD,1016.088807
TG,1043.140929
TH,7345.135690
TJ,1341.202290
TL,1343.148860
TM,8571.607029
TN,4350.371797
TO,4863.763846
TR,15473.287264
TT,19314.716343
TV,6344.775019
TZ,1185.745483
UA,5389.473145
UG,1072.713698
US,85809.900385
UY,23906.513303
UZ,3161.700106
VC,11501.226519
VE,15943.612720
VI,44320.909186
VN,4717.290287
VU,3542.810716
WS,4898.771408
YE,633.887202
ZA,6253.371582
ZM,1235.084665
ZW,2656.409377
